문제,문항1,문항2,문항3,문항4,정답
외국인명 표기 시 직위가 있는 결혼한 외국 여성의 이름을 표기하는 방법으로 옳은 것은?,직위는 생략하고 이름만 쓴다.,이름이나 성을 쓰고 호칭을 붙일 수 있다.,반드시 '여사'라는 호칭을 붙인다.,남성과 동일하게 직위만 표기하고 호칭은 생략한다.,2
중국과 베트남의 인명 표기 원칙으로 옳은 것은?,성과 이름을 띄어 쓴다.,성과 이름을 붙여 쓴다.,성만 표기하고 이름은 생략한다.,이름만 표기하고 성은 생략한다.,2
미들네임 표기 원칙으로 옳은 것은?,미들네임은 항상 생략한다.,미들네임은 항상 퍼스트네임 뒤에 붙여 쓴다.,미들네임은 생략하는 것을 기본으로 하되 구분이 필요한 경우 써준다.,미들네임과 퍼스트네임을 알파벳 영어로 약식 표기할 경우 마침표를 찍지 않는다.,3
우리나라 지명 표기 시 광역시와 특별시의 '시' 표기 원칙은?,",광역시와 특별시는 반드시 '시'를 붙여 쓴다.",",광역시에는 '시'를 붙이고 특별시에는 생략한다. ",광역시 특별시는 '시'를 빼고 그 외 지역에는 '시'를 써준다. ,광역시 특별시 모두 '시'를 생략할 수 없다.,3
제주특별자치도와 세종특별자치시의 지명 표기 원칙으로 옳은 것은?,제주특별자치도와 세종특별자치시로 풀어서 쓴다.,제주도와 세종시로 줄여 쓴다.,제주와 세종으로 적는다.,임의로 선택하여 표기할 수 있다.,3
시ㆍ도ㆍ군ㆍ구ㆍ동ㆍ면ㆍ읍 등 각 행정 단위를 이어 쓸 때의 띄어쓰기 원칙은?,띄어 쓴다.,붙여 쓴다.,혼동의 우려가 있을 때만 띄어 쓴다.,널리 알려진 지명인 경우 붙여 쓴다.,1
외국 지명 표기 시 바다를 나타내는 표현으로 통일하는 것은?,오션,씨,해(海),바다,3
아시아경제신문의 시간 표기 원칙으로 옳은 것은?,24 시간제를 원칙으로 한다.,12시간제로 표시하는 것을 원칙으로 한다.,스포츠 기사에서는 12 시간제만 허용한다.,철도시간표에서는 12 시간제만 허용한다.,2
날짜가 바뀌는 시점을 기준으로 새로 도입되는 제도에 관한 기사나 사건 기사에서 시간 표기 예외로 허용되는 것은?,정오' 또는 '자정' 표현,오전 0 시' 또는 '오후 0 시',0시'라는 표현,낮 12 시' 또는 '밤 12 시',3
시간이 정확하지 않을 때 사용하는 표현으로 옳은 것은?,경',께' 또는 '쯤',대략',정도',2
시간을 나누는 표현('오전' '오후' '낮' '밤' '새벽')에 대한 설명으로 옳은 것은?,낮 12 시'는 반드시 '정오'로 표기한다.,밤 12 시'는 반드시 '자정'으로 표기한다.,상식적인 수준에서 자율적인 사용을 허용한다.,상오'나 '하오' 표현을 허용한다.,3
30 분'을 표기하는 원칙으로 옳은 것은?,반'으로 쓰는 것을 원칙으로 한다.,반'으로 쓰지 않는 것을 원칙으로 한다.,30 분' 대신 '절반'으로 쓴다.,30 분' 또는 '반' 중 자유롭게 선택한다.,2
외신 기사에서 해외 시간을 나타낼 때 괄호 안에 써야 하는 표현은?,현지시각,현지시간,현지발표,현지기준,2
로켓 발사 시간을 표기할 때 사용하는 단어는?,시간,시각,정각,발사시간,2
시간의 시 분 초 단위 띄어쓰기 원칙으로 옳은 것은?,시 분 초 단위는 모두 띄어 쓴다.,시 분 초 단위는 모두 붙여 쓴다.,시 분 초 단위는 붙여 쓴다.,시는 띄어 쓰고 분 초는 붙여 쓴다.,2
한자식 표현 '구랍' 대신 써야 하는 우리말 표현은?,지난달,작년 12 월,지난해 12월,금년 12 월,3
일반 기사에서 날짜를 표기할 때 '어제' '오늘' '내일'처럼 게재 일자가 바뀜에 따라 혼란을 주는 말을 삼가는 것이 원칙이다. 꼭 써야 하는 경우 어떻게 표기하는가?,날짜를 한자로 병기한다.,날짜를 영문으로 함께 쓴다.,괄호 안에 날짜를 넣어준다.,날짜 뒤에 '자'를 붙여 쓴다.,3
연호 표기 원칙으로 옳은 것은?,단기를 사용한다.,줄여 쓰는 것을 원칙으로 한다.,서력(西曆)을 사용하되 줄여 쓰지 않는 것을 원칙으로 한다.,필요한 경우 한자를 병기한다.,3
지난'과 '오는'을 날짜나 달 앞에 쓰는 기준으로 옳은 것은?,발행일을 기준으로 하루 이상 차이가 날 경우.,발행일을 기준으로 이틀 이상 차이가 날 경우.,연도 앞에 항상 사용한다.,월말 기사에만 사용한다.,2
달(月) 표기 원칙 중 혼란이 일어날 염려가 없는 경우 사용할 수 있는 표현은?,지난월 이월 다음월,저번 달 이번 달 다음번 달,지난달 이달 다음 달,앞달 현재 달 뒷달,3
기원전 기원후 BC AD 사용에 대한 설명으로 옳은 것은?,BC 와 AD 만 사용 가능하다.,기원전'과 '기원후'만 사용 가능하다.,C'를 세기를 나타내는 약어로 사용할 수 있다.,모두 사용 가능하며 한 기사 안에서는 통일한다.,4
날짜를 표기할 때 연도 월 일의 띄어쓰기 원칙은?,연도 월 일 모두 붙여 쓴다.,연도 월 일 모두 띄어 쓴다.,연도는 띄어 쓰고 월 일은 붙여 쓴다.,연도와 월은 붙여 쓰고 일은 띄어 쓴다.,3
5 년반 동안'과 같은 표현을 아시아경제신문 스타일 북에 따라 바르게 고친 것은?,5.5 년 동안,5년 6개월 동안,5 년 반 동안,5 년 절반 동안,2
괄호 안에 연도를 쓸 때의 원칙으로 옳은 것은?,반드시 '년'을 붙여 표기한다.,숫자와 함께 한글로 연도를 풀어서 쓴다.,숫자만 표기하는 것을 기본으로 하되 특정 경우 '년'을 허용한다.,연도를 생략한다.,3
분기 표기 중 잘못된 예시는?,1 분기,2 분기,상반기,1ㆍ 4분기,4
모든 숫자를 표기하는 원칙으로 옳은 것은?,한글로 표기하는 것을 원칙으로 한다.,관용구는 반드시 아라비아 숫자로 쓴다.,아라비아 숫자로 표기하는 것을 원칙으로 하며 관용구는 한글도 허용한다.,로마 숫자를 병행하여 사용한다.,3
숫자를 만 단위로 끊어 쓸 때 한글로 쓰는 단위는 무엇인가?,천 만 억,백 천 만,만 억 조 경,천만 억만 조만,3
숫자와 단위를 띄어쓰는 원칙으로 옳은 것은?,숫자와 단위는 항상 띄어 쓴다.,숫자와 단위는 붙여 쓴다.,만 단위 이상은 띄어 쓰고 이하는 붙여 쓴다.,천 단위 이상은 붙여 쓰고 이하는 띄어 쓴다.,2
여' '약' '정도' '가량' 등 대략적인 숫자를 나타내는 표현을 사용할 때의 원칙으로 옳은 것은?,여'와 '약'을 함께 쓸 수 있다.,정도'와 '가량'을 함께 쓸 수 있다.,이 표현들을 동시에 쓰지 않는다.,어떤 조합이든 자유롭게 사용할 수 있다.,3
2000 여만원'에서 '여'의 띄어쓰기 원칙으로 옳은 것은?,여'는 숫자와 띄어 쓴다.,여'는 숫자와 붙여 쓴다.,여'는 관형사이므로 띄어 쓴다.,여'는 명사이므로 띄어 쓴다.,2
숫자 범위를 나타내는 '~'를 사용할 때 앞에 오는 숫자의 단위는 어떻게 표기하는가?,단위를 생략하는 것을 원칙으로 한다.,단위를 생략하지 않는 것을 원칙으로 한다.,첫 번째 숫자 뒤에만 단위를 쓰고 나머지는 생략한다.,단위를 한자로 병기한다.,2
숙어나 관용구에 들어가는 숫자를 표기하는 원칙으로 옳은 것은?,아라비아 숫자로 표기하는 것을 원칙으로 한다.,한글로 표시하는 것을 원칙으로 한다.,한자어로만 표기한다.,임의로 선택하여 표기할 수 있다.,2
분수 표기 원칙으로 옳은 것은?,1/3'과 같이 슬래시로 표기한다.,○분의 ○'으로 쓴다.,소수점으로 표기하는 것을 원칙으로 한다.,3 분 1'과 같이 붙여 쓴다.,2
전화번호를 표기할 때 전화번호 앞에 쓰는 것은?,☎,TEL,Phone,Call,2
법률 조항을 기사에서 처음 언급할 때의 표기 원칙은?,제 ○ 조 ○ 항'과 같이 띄어 쓴다.,제○조○항' 등으로 붙여 쓴다.,제 x 조 x 항'과 같이 영문과 숫자를 혼용한다.,조와 항을 괄호 안에 병기한다.,2
비례나 경쟁률을 나타낼 때의 띄어쓰기 원칙으로 옳은 것은?,○대○'와 같이 모두 붙여 쓴다.,○ 대 ○'와 같이 모두 띄어 쓴다.,○대 ○'와 같이 뒤 숫자를 띄어 쓴다.,○ 대○'와 같이 앞 숫자를 띄어 쓴다.,3
스포츠 기사에서 경기 점수를 표기할 때 ':' '-' '대'와 숫자 문장부호의 띄어쓰기 원칙은?,숫자와 문장부호를 모두 띄어 쓴다.,숫자와 문장부호를 모두 붙여 쓴다.,숫자는 붙이고 문장부호는 띄어 쓴다.,문장부호는 붙이고 숫자는 띄어 쓴다.,2
아시아경제신문의 마침표 사용 원칙으로 옳지 않은 것은?,서술 명령 청유 등을 나타내는 문장 끝에는 마침표를 한다.,표제어나 제목에는 마침표를 쓰지 않는다.,문장이 큰따옴표(“ ”)나 줄임표(…)로 끝날 때 마침표를 한다.,큰따옴표 뒤에 조사가 계속 이어질 때나 괄호 안에도 마침표를 찍는다.,4
문장의 부연설명을 위해 문장 끝에 괄호가 들어가는 경우 마침표의 위치는?,괄호 안에 마침표를 찍는다.,괄호 앞에 마침표를 찍는다.,괄호 다음에 마침표를 한다.,마침표를 생략한다.,3
이어진 문장 가운데 쓰인 각 조항 끝에 마침표를 하지 않는 것이 원칙이나 예외적으로 마침표 사용이 허용되는 경우는?,각 조항이 숫자로 시작할 때.,혼돈의 우려가 있을 시.,문장의 길이가 매우 길 때.,조항의 내용이 매우 중요할 때.,2
소수점이나 아라비아 숫자만으로 연(年)ㆍ월(月)ㆍ일(日)을 표시할 때 마침표의 사용은?,사용하지 않는 것을 원칙으로 한다.,쉼표를 사용한다.,마침표를 사용한다.,하이픈(-)을 사용한다.,3
기사에서 쉼표 남용을 삼가는 것이 원칙이지만 반드시 쉼표를 찍어야 하는 경우가 아닌 것은?,글 뜻이 중단돼 잠깐 쉬는 곳.,뜻이 달라지는 곳.,열거하는 것이 헷갈리기 쉬울 때.,일반적으로 쓰이는 접속어 뒤.,4
다음 중 쉼표를 사용하지 않음을 원칙으로 하는 것은?,둘 이상의 형용사와 설명구가 있을 때.,부르는 말이나 대답하는 말 제시어 다음.,단어 자체가 쉼표 역할을 하는 '한편' '특히' '그러나' 등.,문맥상 반드시 끊어 읽어야 할 곳.,3
기사에서 물음표(?) 사용 원칙으로 옳은 것은?,기사에서는 물음표 남용을 적극 권장한다.,우리말 자체가 물음을 나타내는 어미 뒤에는 항상 물음표를 쓴다.,의문 반어 수사의문의 뜻을 나타내지 못할 때 쓴다.,소설 등의 대화나 문답 같은 특수한 기사에서는 물음표를 쓸 수 없다.,3
기사에서 느낌표(!) 사용 원칙으로 옳은 것은?,감탄형 어미로 끝나는 문장에는 무조건 느낌표를 찍는다.,감탄형 어미로 끝나는 문장이라도 감탄의 정도가 약할 때는 느낌표 대신 마침표를 찍는다.,감탄ㆍ놀람ㆍ부르짖음ㆍ명령 등의 강한 느낌을 나타낼 때는 느낌표를 사용하지 않는다.,긍정하거나 다짐하는 말을 반어형으로 쓸 경우에는 느낌표를 허용하지 않는다.,2
가운뎃점(ㆍ) 사용 원칙으로 옳은 것은?,",동격의 명사나 연속적인 명사가 둘 이상 나열될 때는 항상 가운뎃점을 찍는다.",중단기 중장기 시군구 등은 가운뎃점을 찍는 예외에 해당한다.,괄호 안의 연령 직업 주소를 구별할 때는 쉼표를 사용한다.,두 개의 명사가 어울려 한 개의 명사로 되거나 하나의 단어로 볼 수 있을 때와 이미 고유명사로 굳은 것에는 가운뎃점을 찍지 않는다.,4
쌍점(:)의 표기 원칙으로 옳은 것은?,내포되는 종류를 들 때 쌍점을 찍고 앞말과 띄어 쓰고 뒷말과도 띄어 쓴다.,내포되는 종류를 들 때 쌍점을 찍고 앞말에 붙여 쓰고 뒷말과 띄어 쓴다.,표나 그래프 중에서 단위를 나타낼 때는 쌍점을 사용하지 않는다.,자료 출처를 나타낼 때는 쌍점 대신 쉼표를 사용한다.,2
기사에서 말줄임표(…) 사용 원칙으로 옳은 것은?,할 말을 줄여 끝을 맺지 않을 때는 사용하지 않는다.,‘……’이 아닌 ‘…’으로 쓴다.,항상 마침표와 함께 사용해야 한다.,문장의 중간에서는 사용할 수 없다.,2
큰따옴표(“ ”)의 사용 원칙으로 옳은 것은?,작품명이나 영화 제목을 표시할 때 사용한다.,대화 속의 대화나 인용문 속의 인용문을 표시할 때 사용한다.,문장 중 직접 대화나 남의 말을 인용할 때 쓴다.,같은 단어가 기사 안에서 처음 등장할 때 한 번만 사용한다.,3
"작은따옴표(‘ ’)의 사용 원칙으로 옳지 않은 것은?,작품명 영화 제목 책 제목 등을 표시할 때 쓴다.",대화 속의 대화나 인용문 속의 인용문을 표시할 때 쓴다.,문화 영화 예술,공연 등의 면에서는 예외적으로 계속 사용할 수 있다.,같은 단어의 경우 기사 안에서 처음 등장할 때 한 번 쓰고 그 이후에는 사용하지 않는 것이 원칙이다.,3
소괄호(())의 사용 원칙으로 옳은 것은?,괄호 안이 설명하거나 덧붙여주는 말에 따옴표가 붙는다면 괄호를 포함하지 않고 따옴표만 묶어준다.,영문이나 한자를 병기할 때 쓴다.,특정 작품의 구절을 인용해서 쓸 경우 제목을 넣어주고자 할 때는 사용하지 않는다.,원어ㆍ연대ㆍ주석ㆍ설명 등을 넣을 때는 사용하지 않는다.,2
중괄호(< >)의 사용 원칙으로 옳은 것은?,본문에서 사진을 인용해야 하는 경우에 사용할 수 없다.,간지면이나 이벤트면에서 본문에서 사진을 인용해야 하는 경우에 쓸 수 있다.,반드시 다른 문장부호와 함께 사용해야 한다.,주로 영문이나 한자를 병기할 때 사용한다.,2
물결표(~) 사용 시 ‘~’ 뒤에 ‘까지’를 사용해야 하는가?,항상 사용해야 한다.,사용하지 않는다.,수량이나 금액을 나타낼 때만 사용한다.,기간을 나타낼 때만 사용한다.,2
물결표(~)를 사용하여 기간을 나타낼 때 앞쪽 기간의 단위 생략 원칙으로 옳은 것은?,항상 단위를 생략한다.,항상 단위를 표기한다.,범위가 달라지는 경우에는 단위를 써준다.,연도 앞에는 반드시 단위를 표기한다.,1
"줄표(-)의 사용 원칙으로 옳은 것은?,스포츠의 대전",득점의 대비를 나타낼 때는 사용하지 않는다.,인터뷰 기사에서 질문 앞에 사용하지 않는다.,줄표 대신 되도록 가운뎃점(ㆍ)을 사용하도록 한다.,순서나 흐름을 나타낼 때나 기관 단체 등에서 일대일로 관계를 맺어 행사를 하는 경우는 ‘-’를 쓸 수 없다.,3
평행선(=)의 사용 원칙으로 옳은 것은?,기사의 발신지와 발신자 사이에 쓰며 양쪽 말이 다를 때 쓴다.,기사의 소제목을 달 때 소제목과 내용 사이에 붙여주고 소제목과 붙이고 내용과는 띄어 쓴다.,항상 문장의 마지막에 사용한다.,소제목 앞에만 사용한다.,2
곱셈표(×)의 사용 원칙으로 옳은 것은?,IT 기기의 비율 표기에는 사용하지 않는다.,상스러운 표현을 직접 인용하기 힘든 경우 사용하지 않는다.,IT 기기의 비율 표기나 상스러운 표현을 직접 인용하기 힘든 경우 사용한다.,빠진 글자를 숨김 표시할 때만 사용한다.,3
내용을 직접 알리는 것을 피하고자 할 때 빠진 글자 하나하나에 숨김 표시를 할 경우 순서대로 쓰는 기호는?,곱셈표(×) 동그라미표(○) 네모표(□) 세모표(△),네모표(□) 동그라미표(○) 세모표(△) 곱셈표(×),동그라미표(○) 네모표(□) 세모표(△) 곱셈표(×),세모표(△) 동그라미표(○) 네모표(□) 곱셈표(×),3
화살표(→)의 사용 원칙으로 옳은 것은?,화살표와 앞뒤 단어를 띄어 쓴다.,진행하는 방향이나 변화ㆍ발전하는 의미를 나타낼 때 쓴다.,주로 숫자와 함께 사용된다.,문장의 시작 부분에만 사용한다.,2
기사의 소제목 앞에 사용하는 기호는?,빗금삼각표(▲),줄표(-),빗금마름모표(◆),평행선(=),3
빗금삼각표(▲)의 사용 원칙으로 옳은 것은?,기사 본문 중 여러 내용을 나열할 때 사용하지 않는다.,토론이나 인터뷰 기사에서 이름이나 직책 뒤에 띄어 쓴다.,토론이나 인터뷰 기사에서 이름이나 직책 앞에 붙여 쓴다.,일문일답 형식의 기사에서 답 앞에 사용하지 않는다.,3
단위 표기 원칙으로 옳은 것은?,스포츠 면에서는 두 가지 표현을 허용하되 일관되게 표현하지 않아도 된다.,원칙적으로 한 가지로만 표기한다.,잘 알려지지 않은 단위는 알파벳이나 한글로 표기하는 것을 허용하지 않는다.,m 와 t 은 약물로 표기한다.,2
금액 단위 표기 원칙으로 옳은 것은?,금액을 나타내는 숫자와 띄어 쓴다.,금액 단위를 구분해주는 쉼표를 반드시 사용한다.,금액을 나타내는 숫자와 붙여 쓴다.,외국 통화를 한화로 환산할 경우 ‘한화’라는 표현을 반드시 쓴다.,3
나이 표기 원칙으로 옳은 것은?,한글로 쓸 때는 ‘세’ 아라비아숫자로 쓸 때는 ‘살’로 쓴다.,한글로 쓸 때는 ‘살’ 아라비아숫자로 쓸 때는 ‘세’로 쓴다.,나이는 항상 아라비아 숫자로만 표기한다.,‘다섯 살’은 띄어 쓰고 ‘5 세’는 붙여 쓴다.,2
"건물과 주거 단위 표기 원칙으로 옳은 것은?,건물은 ‘동’으로만 표기하며 ‘○개동’은 띄어 쓴다.",주거 단위는 ‘세대’로 표기하는 것이 원칙이다.,건물은 ‘채’ ‘동’으로,주거 단위는 ‘가구’로 표기하며 ‘○개동’은 붙여 쓴다.,아파트의 경우 ‘APT’라고 줄여 쓸 수 있다.,3
날씨 관련 단위 표기 원칙으로 옳은 것은?,강우량은 ㎝ 적설량은 ㎜로 적는다.,온도는 화씨를 기준으로 한다.,영하일 경우 마이너스(-) 기호를 사용한다.,온도는 섭씨를 기준으로 하며 한글로 ‘도’로 표기한다.,4
조사의 띄어쓰기 원칙으로 옳은 것은?,조사는 단어이므로 띄어 쓰는 것을 원칙으로 한다.,조사는 그 앞말에 붙여 쓴다.,조사는 문장의 마지막에 올 때만 띄어 쓴다.,조사는 품사에 따라 띄어쓰기가 달라진다.,2
의존명사의 띄어쓰기 원칙으로 옳은 것은?,의존명사는 그 앞말에 붙여 쓴다.,의존명사는 띄어 쓴다.,의존명사 뒤에 조사가 붙을 때만 띄어 쓴다.,의존명사는 문맥에 따라 띄어쓰기를 자유롭게 한다.,2
단위를 나타내는 명사의 띄어쓰기 원칙으로 옳은 것은?,항상 띄어 쓴다.,아라비아숫자 다음에 ‘숫자 단위를 나타내는 명사(억ㆍ만 등)’와 ‘숫자와 어울리는 단어(10여명에서 ‘여’ 등)’를 쓸 경우에는 단위와 붙여 쓴다.,한글로 표기할 때만 띄어 쓴다.,숫자가 한 단어일 때만 붙여 쓴다.,2
수를 적을 때 만(萬) 단위로 끊어서 표기하는 경우의 띄어쓰기 원칙은?,만 단위는 띄어 쓰고 나머지는 붙여 쓴다.,만 단위로 끊어서 표기하되 모두 붙여 쓴다.,만 억 조 경은 한글로 쓰고 띄어 쓴다.,숫자는 띄어 쓰고 단위는 붙여 쓴다.,2
두 말을 이어 주거나 열거할 때 쓰이는 말들의 띄어쓰기 원칙으로 옳은 것은?,항상 붙여 쓴다.,띄어 쓴다.,명사만 이어줄 때 띄어 쓴다.,짧은 단어일 경우 붙여 쓴다.,2
보조 용언의 띄어쓰기 원칙으로 옳은 것은?,항상 붙여 쓴다.,항상 띄어 쓴다.,띄어 쓰는 것을 원칙으로 하되 경우에 따라 붙여 씀도 허용한다.,아시아경제 표기원칙에서는 하나의 기사 안에서 보조 용언을 항상 띄어 쓰는 것으로 통일한다.,3
성과 직위 성과 호칭의 띄어쓰기 원칙으로 옳은 것은?,성과 직위는 붙여 쓰고 성과 호칭은 띄어 쓴다.,성과 호칭(씨ㆍ군ㆍ양ㆍ옹)은 붙여 쓰고 관직명(회장ㆍ사장ㆍ위원장 등)은 띄어 쓴다.,성명 이외의 고유 명사는 항상 붙여 쓴다.,성명 이외의 고유 명사는 단어별로 띄어 쓴다.,2
성명 이외의 고유 명사 띄어쓰기 원칙으로 옳은 것은?,항상 붙여 쓰는 것을 원칙으로 한다.,단어별로 띄어 씀을 원칙으로 하되 단위별로 띄어 쓸 수 있다.,널리 알려진 고유 명사는 붙여 쓴다.,음절 수가 많을수록 띄어 쓴다.,2
법률 군사 등 전문 용어의 띄어쓰기 원칙으로 옳은 것은?,항상 붙여 쓴다.,항상 띄어 쓴다.,단어별로 띄어 씀을 원칙으로 하되 붙여 쓸 수 있다.,한 단어로 굳어진 경우에만 붙여 쓴다.,3
보조 용언이 앞말에 조사가 붙거나 앞말이 합성 동사인 경우 중간에 조사가 들어갈 때의 띄어쓰기 원칙은?,그 뒤에 오는 보조 용언은 항상 붙여 쓴다.,그 뒤에 오는 보조 용언은 띄어 쓴다.,‘-아 / 어’ 뒤에 연결되는 보조 용언은 항상 붙여 쓴다.,보조 용언의 의미에 따라 띄어쓰기가 달라진다.,2
‘못하다’가 ‘어떤 일을 일정한 수준에 못 미치게 한다’는 뜻으로 쓰일 때의 띄어쓰기 원칙은?,붙여 쓴다.,띄어 쓴다.,앞 단어에 ‘-지’ 접미가 있는 경우는 띄어 쓴다.,노래를 못 한다(노래를 할 수 없다)'의 경우도 붙여 쓴다.,1
‘안 하다’의 띄어쓰기 원칙으로 옳은 것은?,항상 붙여 쓴다.,모두 띄어 써야 한다.,안되다'와 동일하게 적용한다.,문장의 길이가 길어질 때만 띄어 쓴다.,2
보조 동사 ‘내다’가 한 음절의 말에 붙어 굳어진 경우의 띄어쓰기 원칙은?,항상 띄어 쓴다.,붙여 쓴다.,퍼 내다' '빼 내다'와 같이 띄어 쓰는 것이 원칙이다.,내다'가 동사로 쓰일 때만 붙여 쓴다.,2
‘하다 되다 시키다 받다’와 같은 접미사 앞에 오는 단어가 서술성이나 행위성을 가진 경우의 띄어쓰기 원칙은?,항상 띄어 쓴다.,붙여 쓴다.,봉변 당하다'와 같이 '당하다'는 띄어 쓰는 것이 원칙이다.,품사가 변경되는 경우에만 붙여 쓴다.,2
부사형 어미 ‘와/워 아/어’에 ‘하다’가 붙어 품사가 변경됐을 때의 띄어쓰기 원칙은?,항상 띄어 쓴다.,붙여 쓴다.,고마워 하다' '아파 하다'와 같이 띄어 쓰는 것이 원칙이다.,하다'가 동사로 쓰일 때만 붙여 쓴다.,2
관형사 ‘이 그 저 아무’가 다음 말에 붙여 쓰는 경우가 아닌 것은?,이것 그것 저것,아무것 이곳 그곳 저곳,이때 그때,저때 아무때 아무곳.,4
